Title	Reference	Date	Genre
FPT Software 'bắt tay' đối tác Nhật phát triển công nghệ dữ liệu	https://vnexpress.net/fpt-software-bat-tay-doi-tac-nhat-phat-trien-cong-nghe-du-lieu-4418165.html	Thứ tư, 19/1/2022, 18:00 (GMT+7)	 
Asanzo ra mắt loạt TV Ultra iSLIM 4K mới	https://vnexpress.net/asanzo-ra-mat-loat-tv-ultra-islim-4k-moi-4418331.html	Thứ tư, 19/1/2022, 16:00 (GMT+7)	 
Synnex FPT phân phối sản phẩm Xiaomi chính hãng	https://vnexpress.net/synnex-fpt-phan-phoi-san-pham-xiaomi-chinh-hang-4418288.html	Thứ tư, 19/1/2022, 15:45 (GMT+7)	 
FPT và Thiên Long khởi động dự án chuyển đổi số	https://vnexpress.net/fpt-va-thien-long-khoi-dong-du-an-chuyen-doi-so-4417632.html	Thứ tư, 19/1/2022, 08:00 (GMT+7)	 
Cuộc chiến tỷ USD thống trị cáp quang biển	https://vnexpress.net/cuoc-chien-ty-usd-thong-tri-cap-quang-bien-4417613.html	Thứ ba, 18/1/2022, 11:08 (GMT+7)	 
Vũ trụ ảo đang tạo ra việc làm thật	https://vnexpress.net/vu-tru-ao-dang-tao-ra-viec-lam-that-4417530.html	Thứ ba, 18/1/2022, 09:00 (GMT+7)	Đời sống số 
Trung Quốc hái 'quả ngọt' khi tự chủ bán dẫn	https://vnexpress.net/trung-quoc-hai-qua-ngot-khi-tu-chu-ban-dan-4417754.html	Thứ ba, 18/1/2022, 13:11 (GMT+7)	Đời sống số 
Những kẽ hở về bản quyền NFT	https://vnexpress.net/nhung-ke-ho-ve-ban-quyen-nft-4417766.html	Thứ ba, 18/1/2022, 18:00 (GMT+7)	Đời sống số 
Apple gặp rắc rối với sạc iPhone	https://vnexpress.net/apple-gap-rac-roi-voi-sac-iphone-4417525.html	Thứ ba, 18/1/2022, 07:00 (GMT+7)	Đời sống số 
Game thủ nổi giận khi bị biến thành nhà đầu tư	https://vnexpress.net/game-thu-noi-gian-khi-bi-bien-thanh-nha-dau-tu-4417404.html	Thứ ba, 18/1/2022, 00:00 (GMT+7)	Đời sống số 
Gói bảo hành toàn diện Samsung Care+ nâng cấp quyền lợi	https://vnexpress.net/goi-bao-hanh-toan-dien-samsung-care-nang-cap-quyen-loi-4417295.html	Thứ ba, 18/1/2022, 11:00 (GMT+7)	 
Sự thật ẩn sau các giao dịch tiền điện tử	https://vnexpress.net/su-that-an-sau-cac-giao-dich-tien-dien-tu-4417210.html	Thứ hai, 17/1/2022, 12:50 (GMT+7)	Bảo mật 
Tâm sự của người dốc hết tiền vào Bitcoin	https://vnexpress.net/tam-su-cua-nguoi-doc-het-tien-vao-bitcoin-4416963.html	Thứ hai, 17/1/2022, 00:00 (GMT+7)	Đời sống số 
Việt Nam nghiên cứu công nghệ 6G từ năm nay	https://vnexpress.net/viet-nam-nghien-cuu-cong-nghe-6g-tu-nam-nay-4417365.html	Thứ hai, 17/1/2022, 17:25 (GMT+7)	 
Lừa đảo qua mã QR gia tăng	https://vnexpress.net/lua-dao-qua-ma-qr-gia-tang-4417038.html	Thứ hai, 17/1/2022, 09:00 (GMT+7)	Bảo mật 
Google và Facebook bị tố hợp tác quảng cáo bất hợp pháp	https://vnexpress.net/google-va-facebook-bi-to-hop-tac-quang-cao-bat-hop-phap-4417101.html	Thứ hai, 17/1/2022, 07:33 (GMT+7)	Đời sống số 
Safari làm lộ lịch sử duyệt web của người dùng Apple	https://vnexpress.net/safari-lam-lo-lich-su-duyet-web-cua-nguoi-dung-apple-4417100.html	Thứ hai, 17/1/2022, 07:06 (GMT+7)	Bảo mật 
FPT chuyển đổi số toàn diện cho Bến Tre	https://vnexpress.net/fpt-chuyen-doi-so-toan-dien-cho-ben-tre-4417258.html	Thứ hai, 17/1/2022, 12:00 (GMT+7)	 
Portcoast ứng dụng flycam nhằm khảo sát hạ tầng	https://vnexpress.net/portcoast-ung-dung-flycam-nham-khao-sat-ha-tang-4415826.html	Thứ hai, 17/1/2022, 09:00 (GMT+7)	 
Robot đi học thay bé 7 tuổi	https://vnexpress.net/robot-di-hoc-thay-be-7-tuoi-4416998.html	Chủ nhật, 16/1/2022, 16:45 (GMT+7)	Đời sống số 
Khác biệt giữa công nghệ TV OLED, QNED và QLED	https://vnexpress.net/khac-biet-giua-cong-nghe-tv-oled-qned-va-qled-4416077.html	Chủ nhật, 16/1/2022, 09:00 (GMT+7)	 
Hacker lừa tiền trong 'Thành phố Blockchain'	https://vnexpress.net/hacker-lua-tien-trong-thanh-pho-blockchain-4416730.html	Chủ nhật, 16/1/2022, 12:00 (GMT+7)	Bảo mật 
Bỗng dưng nổi tiếng vì bán được một triệu USD ảnh selfie	https://vnexpress.net/bong-dung-noi-tieng-vi-ban-duoc-mot-trieu-usd-anh-selfie-4416381.html	Thứ bảy, 15/1/2022, 07:18 (GMT+7)	Đời sống số 
Hàng triệu USD đổ vào đất ảo trong metaverse	https://vnexpress.net/hang-trieu-usd-do-vao-dat-ao-trong-metaverse-4416509.html	Thứ bảy, 15/1/2022, 11:00 (GMT+7)	Xu hướng 
Masstel giới thiệu ứng dụng quản lý trẻ em dùng Internet	https://vnexpress.net/masstel-gioi-thieu-ung-dung-quan-ly-tre-em-dung-internet-4416499.html	Thứ bảy, 15/1/2022, 10:00 (GMT+7)	 
Tổng đài ảo AI hỗ trợ thúc đẩy doanh số bán hàng	https://vnexpress.net/tong-dai-ao-ai-ho-tro-thuc-day-doanh-so-ban-hang-4416041.html	Thứ bảy, 15/1/2022, 08:00 (GMT+7)	 
Mất hàng nghìn USD vì tài khoản đám mây bị chiếm để 'đào' tiền số	https://vnexpress.net/mat-hang-nghin-usd-vi-tai-khoan-dam-may-bi-chiem-de-dao-tien-so-4416194.html	Thứ sáu, 14/1/2022, 15:59 (GMT+7)	Bảo mật 
Một số game blockchain Việt bị tố lừa đảo	https://vnexpress.net/mot-so-game-blockchain-viet-bi-to-lua-dao-4415913.html	Thứ sáu, 14/1/2022, 12:18 (GMT+7)	Đời sống số 
Baby Shark là video YouTube đầu tiên đạt 10 tỷ lượt xem	https://vnexpress.net/baby-shark-la-video-youtube-dau-tien-dat-10-ty-luot-xem-4416155.html	Thứ sáu, 14/1/2022, 09:53 (GMT+7)	Đời sống số 
Coway là máy lọc khí xuất sắc nhất Tech Awards 2021	https://vnexpress.net/coway-la-may-loc-khi-xuat-sac-nhat-tech-awards-2021-4416349.html	Thứ sáu, 14/1/2022, 20:00 (GMT+7)	 
3 lưu ý khi tham gia metaverse	https://vnexpress.net/3-luu-y-khi-tham-gia-metaverse-4413501.html	Thứ sáu, 14/1/2022, 14:00 (GMT+7)	 
Huawei đầu tư dồn dập vào các dự án chip	https://vnexpress.net/huawei-dau-tu-don-dap-vao-cac-du-an-chip-4415542.html	Thứ năm, 13/1/2022, 18:00 (GMT+7)	Đời sống số 
Cuộc chiến không điểm dừng của các siêu AI	https://vnexpress.net/cuoc-chien-khong-diem-dung-cua-cac-sieu-ai-4415846.html	Thứ năm, 13/1/2022, 14:53 (GMT+7)	AI 
'Bơm xả' và những chiêu chiếm đoạt tiền điện tử	https://vnexpress.net/bom-xa-va-nhung-chieu-chiem-doat-tien-dien-tu-4415476.html	Thứ năm, 13/1/2022, 07:14 (GMT+7)	Bảo mật 
Chàng trai 19 tuổi hack hệ thống xe Tesla	https://vnexpress.net/chang-trai-19-tuoi-hack-he-thong-xe-tesla-4415735.html	Thứ năm, 13/1/2022, 11:07 (GMT+7)	Bảo mật 
HP Victus 16 đạt danh hiệu 'Laptop chơi game có bộ tản nhiệt tốt nhất'	https://vnexpress.net/hp-victus-16-dat-danh-hieu-laptop-choi-game-co-bo-tan-nhiet-tot-nhat-4414994.html	Thứ năm, 13/1/2022, 20:00 (GMT+7)	 
